Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL,Event URL,method,Fighter1_Elo_Start,Fighter2_Elo_Start,Fighter1_Elo_End,Fighter2_Elo_End
UFC 3: The American Dream,1994-12-16,Open Weight,Ken Shamrock,Christophe Leninger,Ken Shamrock,KO/TKOPunches,1,4:49,http://ufcstats.com/fight-details/56315d5ac11594a5,http://ufcstats.com/event-details/1a49e0670dfaca31,KO,1021.0,1000.0,1040.1106777714813,980.8893222285187
UFC 3: The American Dream,1994-12-16,Open Weight,Keith Hackney,Emmanuel Yarborough,Keith Hackney,KO/TKOPunches,1,1:59,http://ufcstats.com/fight-details/8887948f0c097cd8,http://ufcstats.com/event-details/1a49e0670dfaca31,KO,1000.0,1000.0,1021.0,979.0
UFC 3: The American Dream,1994-12-16,Open Weight,Royce Gracie,Kimo Leopoldo,Royce Gracie,SUBArmbar,1,4:40,http://ufcstats.com/fight-details/f65b000b7e450bcf,http://ufcstats.com/event-details/1a49e0670dfaca31,SUB,1073.6141441901182,1000.0,1088.395348544482,985.2187956456363
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Royce Gracie,Keith Hackney,Royce Gracie,SUBArmbar,1,5:32,http://ufcstats.com/fight-details/9c74c2758a2c7c2e,http://ufcstats.com/event-details/b60391da771deefe,SUB,1088.395348544482,1021.0,1103.6558841127335,1005.7394644317484
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Royce Gracie,Dan Severn,Royce Gracie,SUBTriangle Choke,1,15:49,http://ufcstats.com/fight-details/f29eec19aa5c1303,http://ufcstats.com/event-details/b60391da771deefe,SUB,1103.6558841127335,1000.0,1116.2512045333137,987.4046795794196
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Dan Severn,Marcus Bossett,Dan Severn,SUBArm Triangle,1,0:52,http://ufcstats.com/fight-details/e65a23b80c869456,http://ufcstats.com/event-details/b60391da771deefe,SUB,987.4046795794196,1000.0,1009.5767728900267,977.8279066893929
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Dan Severn,Anthony Macias,Dan Severn,SUBRear Naked Choke,1,1:45,http://ufcstats.com/fight-details/040ecf01338dff9e,http://ufcstats.com/event-details/b60391da771deefe,SUB,1009.5767728900267,1000.0,1029.7047167002372,979.8720561897896
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Steve Jennum,Melton Bowen,Steve Jennum,SUBArmbar,1,4:47,http://ufcstats.com/fight-details/7e7d7a488ea21f63,http://ufcstats.com/event-details/b60391da771deefe,SUB,1021.0,1000.0,1040.1106777714813,980.8893222285187
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Keith Hackney,Joe Son,Keith Hackney,SUBOther - Choke,1,2:44,http://ufcstats.com/fight-details/ccccc0a22b05eac6,http://ufcstats.com/event-details/b60391da771deefe,SUB,1005.7394644317484,1000.0,1026.2147795592664,979.5246848724819
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Royce Gracie,Ron van Clief,Royce Gracie,SUBRear Naked Choke,1,3:49,http://ufcstats.com/fight-details/0b71ada6c9209fc9,http://ufcstats.com/event-details/b60391da771deefe,SUB,1116.2512045333137,1000.0,1127.9952255751903,988.2559789581236
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Guy Mezger,Jason Fairn,Guy Mezger,KO/TKO,1,2:13,http://ufcstats.com/fight-details/8f8f47a728c3127e,http://ufcstats.com/event-details/b60391da771deefe,KO,1000.0,1000.0,1021.0,979.0
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Marcus Bossett,Eldo Xavier Dias,Marcus Bossett,KO/TKO,1,4:55,http://ufcstats.com/fight-details/b80e6a799c95d499,http://ufcstats.com/event-details/b60391da771deefe,KO,977.8279066893929,1000.0,1000.9091663415394,976.9187403478535
UFC 4: Revenge of the Warriors,1995-04-07,Open Weight,Joe Charles,Kevin Rosier,Joe Charles,SUBArmbar,1,0:14,http://ufcstats.com/fight-details/a1db4c917777aa79,http://ufcstats.com/event-details/b60391da771deefe,SUB,1000.0,1000.0,1021.0,979.0
UFC 5: The Return of the Beast,1995-07-14,Open Weight,Dan Severn,Dave Beneteau,Dan Severn,SUBKeylock,1,3:01,http://ufcstats.com/fight-details/6ca94b35719eb300,http://ufcstats.com/event-details/dedc3bb440d09554,SUB,1029.7047167002372,1000.0,1048.057747216507,981.6469694837301
UFC 5: The Return of the Beast,1995-07-14,Open Weight,Dan Severn,Oleg Taktarov,Dan Severn,KO/TKO,1,4:21,http://ufcstats.com/fight-details/cbf3fc8730b4ad09,http://ufcstats.com/event-details/dedc3bb440d09554,KO,1048.057747216507,1000.0,1064.865633329118,983.192113887389
UFC 5: The Return of the Beast,1995-07-14,Open Weight,Dave Beneteau,Todd Medina,Dave Beneteau,KO/TKOPunches,1,2:12,http://ufcstats.com/fight-details/db4c169722cf1e33,http://ufcstats.com/event-details/dedc3bb440d09554,KO,981.6469694837301,1000.0,1004.3638793350476,977.2830901486825
UFC 5: The Return of the Beast,1995-07-14,Open Weight,Dan Severn,Joe Charles,Dan Severn,SUBRear Naked Choke,1,1:38,http://ufcstats.com/fight-details/2308e0da38efd4ba,http://ufcstats.com/event-details/dedc3bb440d09554,SUB,1064.865633329118,1021.0,1082.0200348850053,1003.8455984441126
UFC 5: The Return of the Beast,1995-07-14,Open Weight,Oleg Taktarov,Ernie Verdicia,Oleg Taktarov,SUBScarf Hold,1,2:23,http://ufcstats.com/fight-details/ebfe035b70080668,http://ufcstats.com/event-details/dedc3bb440d09554,SUB,983.192113887389,1000.0,1005.7622803542058,977.4298335331832
UFC 5: The Return of the Beast,1995-07-14,Open Weight,Todd Medina,Larry Cureton,Todd Medina,SUBForearm Choke,1,2:55,http://ufcstats.com/fight-details/43c2c904e1574c59,http://ufcstats.com/event-details/dedc3bb440d09554,SUB,977.2830901486825,1000.0,1000.4165158966314,976.8665742520511
UFC 5: The Return of the Beast,1995-07-14,Open Weight,Jon Hess,Andy Anderson,Jon Hess,KO/TKOKnees,1,1:23,http://ufcstats.com/fight-details/fa3b940bd48da7e2,http://ufcstats.com/event-details/dedc3bb440d09554,KO,1000.0,1000.0,1021.0,979.0
UFC 5: The Return of the Beast,1995-07-14,Open Weight,Guy Mezger,John Dowdy,Guy Mezger,KO/TKOPunches,1,2:02,http://ufcstats.com/fight-details/fa152ada833de1d4,http://ufcstats.com/event-details/dedc3bb440d09554,KO,1021.0,1000.0,1040.1106777714813,980.8893222285187
UFC 5: The Return of the Beast,1995-07-14,Open Weight,Dave Beneteau,Asbel Cancio,Dave Beneteau,KO/TKO,1,0:21,http://ufcstats.com/fight-details/802c0e4e228996ac,http://ufcstats.com/event-details/dedc3bb440d09554,KO,1004.3638793350476,1000.0,1024.964392133064,979.3994872019837
UFC 6: Clash of the Titans,1995-09-08,Open Weight,Oleg Taktarov,David Abbott,Oleg Taktarov,SUBRear Naked Choke,1,17:45,http://ufcstats.com/fight-details/66c029f49d3c5da6,http://ufcstats.com/event-details/1c3f5e85b59ec710,SUB,1005.7622803542058,1000.0,1026.2355218863977,979.5267584678082
UFC 6: Clash of the Titans,1995-09-08,Open Weight,Ken Shamrock,Dan Severn,Ken Shamrock,SUBGuillotine Choke,1,2:14,http://ufcstats.com/fight-details/d62aec55bc142346,http://ufcstats.com/event-details/1c3f5e85b59ec710,SUB,1040.1106777714813,1082.0200348850053,1065.1102033810078,1057.0205092754788
UFC 6: Clash of the Titans,1995-09-08,Open Weight,Oleg Taktarov,Anthony Macias,Oleg Taktarov,SUBGuillotine Choke,1,0:09,http://ufcstats.com/fight-details/3c2c7c095c79a506,http://ufcstats.com/event-details/1c3f5e85b59ec710,SUB,1026.2355218863977,979.8720561897896,1043.1829895780913,962.924588498096
UFC 6: Clash of the Titans,1995-09-08,Open Weight,David Abbott,Paul Varelans,David Abbott,KO/TKOPunches,1,1:53,http://ufcstats.com/fight-details/43f6b0c40113d0d8,http://ufcstats.com/event-details/1c3f5e85b59ec710,KO,979.5267584678082,1000.0,1002.4456548439069,977.0811036239013
UFC 6: Clash of the Titans,1995-09-08,Open Weight,Anthony Macias,He-Man Gipson,Anthony Macias,KO/TKOHeadbutts,1,3:06,http://ufcstats.com/fight-details/8e03db41687d9132,http://ufcstats.com/event-details/1c3f5e85b59ec710,KO,962.924588498096,1000.0,987.4490951999214,975.4754932981746
UFC 6: Clash of the Titans,1995-09-08,Open Weight,Patrick Smith,Rudyard Moncayo,Patrick Smith,SUBRear Naked Choke,1,1:08,http://ufcstats.com/fight-details/e2b32e1683a566af,http://ufcstats.com/event-details/1c3f5e85b59ec710,SUB,1043.624342705704,1000.0,1060.7988064973456,982.8255362083584
UFC 6: Clash of the Titans,1995-09-08,Open Weight,Paul Varelans,Cal Worsham,Paul Varelans,KO/TKOElbow,1,1:02,http://ufcstats.com/fight-details/547295977141cbc2,http://ufcstats.com/event-details/1c3f5e85b59ec710,KO,977.0811036239013,1000.0,1000.2338814122852,976.8472222116161
UFC 6: Clash of the Titans,1995-09-08,Open Weight,David Abbott,John Matua,David Abbott,KO/TKOPunches,1,0:20,http://ufcstats.com/fight-details/88945d70ee6c6467,http://ufcstats.com/event-details/1c3f5e85b59ec710,KO,1002.4456548439069,1000.0,1023.2213390624469,979.2243157814601
UFC 6: Clash of the Titans,1995-09-08,Open Weight,Joel Sutton,Jack McGlaughlin,Joel Sutton,KO/TKOPunches,1,2:01,http://ufcstats.com/fight-details/b297c3e938e1005e,http://ufcstats.com/event-details/1c3f5e85b59ec710,KO,1000.0,1000.0,1021.0,979.0
UFC 6: Clash of the Titans,1995-09-08,Open Weight,Oleg Taktarov,Dave Beneteau,Oleg Taktarov,SUBGuillotine Choke,1,0:57,http://ufcstats.com/fight-details/5d19fa2df1cb61a2,http://ufcstats.com/event-details/1c3f5e85b59ec710,SUB,1043.1829895780913,1024.964392133064,1062.538993331394,1005.6083883797613
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Marco Ruas,Remco Pardoel,Marco Ruas,SUBOther,1,12:27,http://ufcstats.com/fight-details/99d98a2d278bfa1f,http://ufcstats.com/event-details/5af480a3b2e1726b,SUB,1000.0,1024.3413668923108,1023.2892434509511,1001.0521234413598
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Paul Varelans,Mark Hall,Paul Varelans,SUBKeylock,1,1:01,http://ufcstats.com/fight-details/62bb4ea8bf86790c,http://ufcstats.com/event-details/5af480a3b2e1726b,SUB,1000.2338814122852,1000.0,1021.2123826481628,979.0214987641224
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Marco Ruas,Larry Cureton,Marco Ruas,SUBHeel Hook,1,3:23,http://ufcstats.com/fight-details/9ebb7bba0b45d517,http://ufcstats.com/event-details/5af480a3b2e1726b,SUB,1023.2892434509511,976.8665742520511,1040.2318230423296,959.9239946606727
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Remco Pardoel,Ryan Parker,Remco Pardoel,SUBGi Choke,1,3:05,http://ufcstats.com/fight-details/ef2ccb690dcd943f,http://ufcstats.com/event-details/5af480a3b2e1726b,SUB,1001.0521234413598,1000.0,1021.9554887606273,979.0966346807324
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Marco Ruas,Paul Varelans,Marco Ruas,KO/TKOKicks,1,13:17,http://ufcstats.com/fight-details/e7ca291dd8f5661b,http://ufcstats.com/event-details/5af480a3b2e1726b,KO,1040.2318230423296,1021.2123826481628,1059.5170323786222,1001.9271733118703
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Paul Varelans,Gerry Harris,Paul Varelans,KO/TKOElbows,1,1:05,http://ufcstats.com/fight-details/869d753568a114a6,http://ufcstats.com/event-details/5af480a3b2e1726b,KO,1001.9271733118703,1000.0,1022.7503214064483,979.176851905422
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Scott Bessac,David Hood,Scott Bessac,SUBGuillotine Choke,1,0:31,http://ufcstats.com/fight-details/e9ce3a28eeb83905,http://ufcstats.com/event-details/5af480a3b2e1726b,SUB,1000.0,1000.0,1021.0,979.0
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Onassis Parungao,Francesco Maturi,Onassis Parungao,KO/TKO,1,5:26,http://ufcstats.com/fight-details/e4fe950846b51bdf,http://ufcstats.com/event-details/5af480a3b2e1726b,KO,1000.0,1000.0,1021.0,979.0
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Joel Sutton,Geza Kalman,Joel Sutton,KO/TKO,1,0:48,http://ufcstats.com/fight-details/4b334c9727eee450,http://ufcstats.com/event-details/5af480a3b2e1726b,KO,1021.0,1000.0,1040.1106777714813,980.8893222285187
UFC 7: The Brawl in Buffalo,1995-12-16,Open Weight,Mark Hall,Harold Howard,Mark Hall,KO/TKOPunches,1,1:41,http://ufcstats.com/fight-details/fcf632627ce40195,http://ufcstats.com/event-details/5af480a3b2e1726b,KO,979.0214987641224,1001.969190891809,1002.1770359540207,978.8136537019108
UFC - Ultimate Ultimate '95,1996-02-16,Open Weight,Dan Severn,Oleg Taktarov,Dan Severn,U-DEC,2,3:00,http://ufcstats.com/fight-details/524b49a676498c6d,http://ufcstats.com/event-details/31bbd46d57dfbcb7,DEC,1057.0205092754788,1062.538993331394,1077.5063359233538,1042.053166683519
UFC - Ultimate Ultimate '95,1996-02-16,Open Weight,Oleg Taktarov,Marco Ruas,Oleg Taktarov,U-DEC,1,18:00,http://ufcstats.com/fight-details/717f3c3932279196,http://ufcstats.com/event-details/31bbd46d57dfbcb7,DEC,1042.053166683519,1059.5170323786222,1063.6078502774826,1037.9623487846586
UFC - Ultimate Ultimate '95,1996-02-16,Open Weight,Dan Severn,David Abbott,Dan Severn,U-DEC,1,18:00,http://ufcstats.com/fight-details/0d872527bbb3cd40,http://ufcstats.com/event-details/31bbd46d57dfbcb7,DEC,1077.5063359233538,1023.2213390624469,1093.0304751325746,1007.697199853226
UFC - Ultimate Ultimate '95,1996-02-16,Open Weight,Oleg Taktarov,Dave Beneteau,Oleg Taktarov,SUBAnkle Lock,1,1:15,http://ufcstats.com/fight-details/d45f9dfdb75a640f,http://ufcstats.com/event-details/31bbd46d57dfbcb7,SUB,1063.6078502774826,1005.6083883797613,1079.6096068256793,989.6066318315646
UFC - Ultimate Ultimate '95,1996-02-16,Open Weight,Marco Ruas,Keith Hackney,Marco Ruas,SUBRear Naked Choke,1,2:39,http://ufcstats.com/fight-details/3e39aac3e15d75bd,http://ufcstats.com/event-details/31bbd46d57dfbcb7,SUB,1037.9623487846586,1026.2147795592664,1057.8950215520572,1006.2821067918677
UFC - Ultimate Ultimate '95,1996-02-16,Open Weight,David Abbott,Steve Jennum,David Abbott,SUBNeck Crank,1,1:14,http://ufcstats.com/fight-details/6b0430e9c97afec7,http://ufcstats.com/event-details/31bbd46d57dfbcb7,SUB,1007.697199853226,1040.1106777714813,1031.7667029643735,1016.0411746603338
UFC - Ultimate Ultimate '95,1996-02-16,Open Weight,Mark Hall,Trent Jenkins,Mark Hall,SUB,1,5:29,http://ufcstats.com/fight-details/7ffcc3a72e082ace,http://ufcstats.com/event-details/31bbd46d57dfbcb7,SUB,1002.1770359540207,1000.0,1022.9773044635205,979.1997314905002
UFC - Ultimate Ultimate '95,1996-02-16,Open Weight,Joe Charles,Scott Bessac,Joe Charles,SUBArmbar,1,4:38,http://ufcstats.com/fight-details/6449a1a9a69a830c,http://ufcstats.com/event-details/31bbd46d57dfbcb7,SUB,1003.8455984441126,1021.0,1026.4486398584654,998.3969585856472
UFC - Ultimate Ultimate '95,1996-02-16,Open Weight,Dan Severn,Paul Varelans,Dan Severn,SUBArm Triangle,1,1:01,http://ufcstats.com/fight-details/8cc976ee1a123fb8,http://ufcstats.com/event-details/31bbd46d57dfbcb7,SUB,1093.0304751325746,1022.7503214064483,1108.0675318178464,1007.7132647211764
UFC 8: David vs Goliath,1996-05-17,Open Weight,Gary Goodridge,Jerry Bohlander,Gary Goodridge,KO/TKOPunch,1,5:31,http://ufcstats.com/fight-details/f5156ca4dcd2a0e3,http://ufcstats.com/event-details/b63e800c18e011b5,KO,1000.0,1000.0,1021.0,979.0
UFC 8: David vs Goliath,1996-05-17,Open Weight,Don Frye,Gary Goodridge,Don Frye,KO/TKOPunches,1,2:14,http://ufcstats.com/fight-details/8d2e99599124a16f,http://ufcstats.com/event-details/b63e800c18e011b5,KO,1000.0,1021.0,1022.969190891809,998.030809108191
UFC 8: David vs Goliath,1996-05-17,Open Weight,Ken Shamrock,Kimo Leopoldo,Ken Shamrock,SUBKneebar,1,4:24,http://ufcstats.com/fight-details/16b4a0b06427f1ac,http://ufcstats.com/event-details/b63e800c18e011b5,SUB,1065.1102033810078,985.2187956456363,1079.4167948243082,970.9122042023358
UFC 8: David vs Goliath,1996-05-17,Open Weight,Don Frye,Sam Adkins,Don Frye,KO/TKO,1,0:48,http://ufcstats.com/fight-details/90bce37a788afeaa,http://ufcstats.com/event-details/b63e800c18e011b5,KO,1022.969190891809,1000.0,1041.9071203383266,981.0620705534825
UFC 8: David vs Goliath,1996-05-17,Open Weight,Paul Varelans,Joe Moreira,Paul Varelans,U-DEC,1,10:00,http://ufcstats.com/fight-details/16cb0064575e2b0b,http://ufcstats.com/event-details/b63e800c18e011b5,DEC,1007.7132647211764,1000.0,1027.0430648220583,980.6701998991182
UFC 8: David vs Goliath,1996-05-17,Open Weight,Jerry Bohlander,Scott Ferrozzo,Jerry Bohlander,SUBGuillotine Choke,1,9:03,http://ufcstats.com/fight-details/ab7390e549e28893,http://ufcstats.com/event-details/b63e800c18e011b5,SUB,979.0,1000.0,1001.969190891809,977.030809108191
UFC 8: David vs Goliath,1996-05-17,Open Weight,Sam Adkins,Keith Mielke,Sam Adkins,KO/TKOPunches,1,0:50,http://ufcstats.com/fight-details/5701dbbbfa4f8313,http://ufcstats.com/event-details/b63e800c18e011b5,KO,981.0620705534825,1000.0,1003.8346297811066,977.2274407723759
UFC 8: David vs Goliath,1996-05-17,Open Weight,Don Frye,Thomas Ramirez,Don Frye,KO/TKOPunch,1,0:08,http://ufcstats.com/fight-details/3cf6583153078f8f,http://ufcstats.com/event-details/b63e800c18e011b5,KO,1041.9071203383266,1000.0,1059.2247303147838,982.682390023543
UFC 8: David vs Goliath,1996-05-17,Open Weight,Gary Goodridge,Paul Herrera,Gary Goodridge,KO/TKOElbows,1,0:13,http://ufcstats.com/fight-details/8312985b75241b06,http://ufcstats.com/event-details/b63e800c18e011b5,KO,998.030809108191,1000.0,1019.2122124399152,978.8185966682757
UFC 9: Motor City Madness,1996-07-12,Open Weight,Steve Nelmark,Tai Bowden,Steve Nelmark,KO/TKO,1,7:25,http://ufcstats.com/fight-details/e92abaf81ad5949b,http://ufcstats.com/event-details/a390eb8a9b2df298,KO,1000.0,1000.0,1021.0,979.0
UFC 9: Motor City Madness,1996-07-12,Open Weight,Cal Worsham,Zane Frazier,Cal Worsham,KO/TKOPunches,1,3:14,http://ufcstats.com/fight-details/31fc4d5d5d1a6126,http://ufcstats.com/event-details/a390eb8a9b2df298,KO,976.8472222116161,1000.0,1000.0224158426835,976.8248063689326
UFC 9: Motor City Madness,1996-07-12,Open Weight,Rafael Carino,Matt Andersen,Rafael Carino,KO/TKOPunches,1,5:32,http://ufcstats.com/fight-details/c89017008da245be,http://ufcstats.com/event-details/a390eb8a9b2df298,KO,1000.0,1000.0,1021.0,979.0
UFC 9: Motor City Madness,1996-07-12,Open Weight,Mark Schultz,Gary Goodridge,Mark Schultz,KO/TKO,1,12:00,http://ufcstats.com/fight-details/ca62a52ab0bd9108,http://ufcstats.com/event-details/a390eb8a9b2df298,KO,1000.0,1019.2122124399152,1022.798674519554,996.4135379203613
UFC 9: Motor City Madness,1996-07-12,Open Weight,Mark Hall,Koji Kitao,Mark Hall,KO/TKO,1,0:47,http://ufcstats.com/fight-details/378ede9e541c82f9,http://ufcstats.com/event-details/a390eb8a9b2df298,KO,1022.9773044635205,1000.0,1041.914523763466,981.0627807000546
UFC 9: Motor City Madness,1996-07-12,Open Weight,Don Frye,Amaury Bitetti,Don Frye,KO/TKOKnees,1,9:30,http://ufcstats.com/fight-details/db845f2e28c22b4c,http://ufcstats.com/event-details/a390eb8a9b2df298,KO,1059.2247303147838,1000.0,1075.1286798362567,984.096050478527
UFC 9: Motor City Madness,1996-07-12,Open Weight,Dan Severn,Ken Shamrock,Dan Severn,S-DEC,3,3:00,http://ufcstats.com/fight-details/6a060498e60756af,http://ufcstats.com/event-details/a390eb8a9b2df298,DEC,1108.0675318178464,1079.4167948243082,1125.6331879633128,1061.8511386788418
UFC 10: The Tournament,1996-09-20,Open Weight,Mark Coleman,Don Frye,Mark Coleman,KO/TKOHeadbutts,1,11:34,http://ufcstats.com/fight-details/6397fba14ce7f674,http://ufcstats.com/event-details/aee8eecfc4bfb1e7,KO,1000.0,1075.1286798362567,1028.3419761929092,1046.7867036433474
UFC 10: The Tournament,1996-09-20,Open Weight,Mark Coleman,Gary Goodridge,Mark Coleman,SUBOther,1,7:00,http://ufcstats.com/fight-details/b71cb011942f3176,http://ufcstats.com/event-details/aee8eecfc4bfb1e7,SUB,1028.3419761929092,996.4135379203613,1046.5039647723158,978.2515493409547
UFC 10: The Tournament,1996-09-20,Open Weight,Don Frye,Brian Johnston,Don Frye,KO/TKOElbows,1,4:37,http://ufcstats.com/fight-details/ced000124f98f276,http://ufcstats.com/event-details/aee8eecfc4bfb1e7,KO,1046.7867036433474,1000.0,1063.6992439389737,983.0874597043737
UFC 10: The Tournament,1996-09-20,Open Weight,Gary Goodridge,John Campetella,Gary Goodridge,KO/TKOPunches,1,1:28,http://ufcstats.com/fight-details/bde5589889ded1c9,http://ufcstats.com/event-details/aee8eecfc4bfb1e7,KO,978.2515493409547,1000.0,1001.2922776340872,976.9592717068675
UFC 10: The Tournament,1996-09-20,Open Weight,Brian Johnston,Scott Fiedler,Brian Johnston,KO/TKOPunches,1,2:25,http://ufcstats.com/fight-details/e4acc3bb3c3e27d1,http://ufcstats.com/event-details/aee8eecfc4bfb1e7,KO,983.0874597043737,1000.0,1005.6675529541208,977.419906750253
