Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL
UFC Fight Night: Henderson vs Masvidal,"December 10, 2015",Flyweight,Fredy Serrano,Yao Zhikui,Draw,KO/TKO,1,0:44,http://ufcstats.com/event-details/4d636c3aa1105950
UFC Fight Night: Henderson vs Masvidal,"December 10, 2015",Bantamweight,Marco Beltran,Guangyou Ning,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/4d636c3aa1105950
UFC Fight Night: Henderson vs Masvidal,"December 10, 2015",Welterweight,Dominique Steele,Dong Hyun Ma,Draw,"KO/TKO

      

        Slam",3,0:27,http://ufcstats.com/event-details/4d636c3aa1105950
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Welterweight,Neil Magny,Kelvin Gastelum,Draw,S-DEC,5,5:00,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Featherweight,Ricardo Lamas,Diego Sanchez,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Flyweight,Henry Cejudo,Jussier Formiga,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Welterweight,Erick Montano,Enrique Marin,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Lightweight,Enrique Barzola,Horacio Gutierrez,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Lightweight,Leandro Silva,Efrain Escudero,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Bantamweight,Erik Perez,Taylor Lapilus,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Welterweight,Bartosz Fabinski,Hector Urbina,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Bantamweight,Alejandro Perez,Scott Jorgensen,Draw,KO/TKO,2,4:26,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Featherweight,Andre Fili,Gabriel Benitez,Draw,"KO/TKO

      

        Punches",1,3:13,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Welterweight,Alvaro Herrera Mendoza,Vernon Ramos Ho,Draw,"KO/TKO

      

        Punches",1,0:30,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Lightweight,Marco Polo Reyes,Cesar Arzamendia,Draw,"KO/TKO

      

        Punch",1,3:42,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC Fight Night: Magny vs Gastelum,"November 28, 2015",Lightweight,Michel Prazeres,Valmir Lazaro,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC 193: Rousey vs Holm,"November 21, 2015",Women's Bantamweight,Holly Holm,Ronda Rousey,Draw,"KO/TKO

      

        Kick",2,0:59,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Women's Strawweight,Joanna Jedrzejczyk,Valerie Letourneau,Draw,U-DEC,5,5:00,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Heavyweight,Mark Hunt,Antonio Silva,Draw,"KO/TKO

      

        Punch",1,3:41,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Middleweight,Robert Whittaker,Uriah Hall,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Heavyweight,Jared Rosholt,Stefan Struve,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Lightweight,Jake Matthews,Akbarh Arreola,Draw,KO/TKO,2,5:00,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Welterweight,Kyle Noke,Peter Sobotta,Draw,"KO/TKO

      

        Kick",1,2:01,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Light Heavyweight,Gian Villante,Anthony Perosh,Draw,"KO/TKO

      

        Punch",1,2:56,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Flyweight,Danny Martinez,Richie Vaculik,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Middleweight,Daniel Kelly,Steve Montgomery,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Welterweight,Richard Walsh,Steve Kennedy,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Welterweight,James Moontasri,Anton Zafir,Draw,"KO/TKO

      

        Spinning Back Kick",1,4:36,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC 193: Rousey vs Holm,"November 21, 2015",Flyweight,Ben Nguyen,Ryan Benoit,Draw,"SUB

      

        Rear Naked Choke",1,2:35,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Middleweight,Vitor Belfort,Dan Henderson,Draw,"KO/TKO

      

        Kick",1,2:07,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Light Heavyweight,Glover Teixeira,Patrick Cummins,Draw,"KO/TKO

      

        Punches",2,1:12,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Bantamweight,Thomas Almeida,Anthony Birchak,Draw,"KO/TKO

      

        Punches",1,4:24,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Lightweight,Alex Oliveira,Piotr Hallmann,Draw,"KO/TKO

      

        Punch",3,0:51,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Lightweight,Rashid Magomedov,Gilbert Burns,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Light Heavyweight,Corey Anderson,Fabio Maldonado,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Lightweight,Abel Trujillo,Gleison Tibau,Draw,"DQ

      

        Rear Naked Choke",1,1:45,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Lightweight,Johnny Case,Yan Cabral,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Featherweight,Thiago Tavares,Clay Guida,Draw,"SUB

      

        Guillotine Choke",1,0:39,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Featherweight,Chas Skelly,Edimilson Souza,Draw,"SUB

      

        Rear Naked Choke",2,1:56,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Welterweight,Viscardi Andrade,Gasan Umalatov,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Bantamweight,Jimmie Rivera,Pedro Munhoz,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Belfort vs Henderson 3,"November 14, 2015",Bantamweight,Matheus Nicolau,Bruno Korea,Draw,"SUB

      

        Guillotine Choke",3,3:27,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Flyweight,Louis Smolka,Paddy Holohan,Draw,"SUB

      

        Rear Naked Choke",2,4:09,http://ufcstats.com/event-details/f3155a94ca420126
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Lightweight,Norman Parke,Reza Madadi,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/f3155a94ca420126
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Welterweight,Nicolas Dalby,Darren Till,Draw,M-DEC,3,5:00,http://ufcstats.com/event-details/f3155a94ca420126
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Flyweight,Neil Seery,Jon Delos Reyes,Draw,"SUB

      

        Guillotine Choke",2,4:12,http://ufcstats.com/event-details/f3155a94ca420126
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Lightweight,Stevie Ray,Mickael Lebout,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/f3155a94ca420126
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Women's Strawweight,Aisling Daly,Ericka Almeida,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/f3155a94ca420126
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Middleweight,Krzysztof Jotko,Scott Askham,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/f3155a94ca420126
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Welterweight,Tom Breese,Cathal Pendred,Draw,"KO/TKO

      

        Punches",1,4:37,http://ufcstats.com/event-details/f3155a94ca420126
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Featherweight,Darren Elkins,Robert Whiteford,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/f3155a94ca420126
UFC Fight Night: Holohan vs Smolka,"November 07, 2015",Middleweight,Garreth McLellan,Bubba Bush,Draw,"KO/TKO

      

        Punches",3,4:58,http://ufcstats.com/event-details/f3155a94ca420126
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Light Heavyweight,Daniel Cormier,Alexander Gustafsson,Draw,S-DEC,5,5:00,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Light Heavyweight,Ryan Bader,Rashad Evans,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Heavyweight,Ruslan Magomedov,Shawn Jordan,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Flyweight,Joseph Benavidez,Ali Bagautinov,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Women's Bantamweight,Julianna Pena,Jessica Eye,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Featherweight,Yair Rodriguez,Dan Hooker,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Welterweight,Albert Tumenov,Alan Jouban,Draw,"KO/TKO

      

        Punches",1,2:55,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Lightweight,Adriano Martins,Islam Makhachev,Draw,"KO/TKO

      

        Punch",1,1:46,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Women's Strawweight,Rose Namajunas,Angela Hill,Draw,"SUB

      

        Rear Naked Choke",1,2:47,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Lightweight,Sage Northcutt,Francisco Trevino,Draw,"KO/TKO

      

        Punches",1,0:57,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Flyweight,Sergio Pettis,Chris Cariaso,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/119ebea97e914dcf
UFC 192: Cormier vs Gustafsson,"October 24, 2015",Heavyweight,Derrick Lewis,Viktor Pesta,Draw,"KO/TKO

      

        Punches",3,1:15,http://ufcstats.com/event-details/119ebea97e914dcf
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Heavyweight,Josh Barnett,Roy Nelson,Draw,U-DEC,5,5:00,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Middleweight,Uriah Hall,Gegard Mousasi,Draw,"KO/TKO

      

        Spinning Back Kick",2,0:25,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Flyweight,Kyoji Horiguchi,Chico Camus,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Bantamweight,Takeya Mizugaki,George Roop,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Featherweight,Diego Brandao,Katsunori Kikuno,Draw,"KO/TKO

      

        Punch",1,0:28,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Featherweight,Mizuto Hirota,Teruto Ishihara,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Welterweight,Keita Nakamura,Li Jingliang,Draw,"SUB

      

        Rear Naked Choke",3,2:17,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Lightweight,Nick Hein,Yusuke Kasuya,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Lightweight,Kajan Johnson,Naoyuki Kotani,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC Fight Night: Barnett vs Nelson,"October 03, 2015",Welterweight,Shinsho Anzai,Roger Zapata,Draw,KO/TKO,3,0:47,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Flyweight,Demetrious Johnson,John Dodson,Draw,U-DEC,5,5:00,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Heavyweight,Andrei Arlovski,Frank Mir,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Light Heavyweight,Anthony Johnson,Jimi Manuwa,Draw,"KO/TKO

      

        Punch",2,0:28,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Light Heavyweight,Corey Anderson,Jan Blachowicz,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Women's Strawweight,Paige VanZant,Alex Chambers,Draw,"SUB

      

        Armbar",3,1:01,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Lightweight,Ross Pearson,Paul Felder,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Bantamweight,John Lineker,Francisco Rivera,Draw,"SUB

      

        Guillotine Choke",1,2:08,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Women's Bantamweight,Raquel Pennington,Jessica Andrade,Draw,"SUB

      

        Rear Naked Choke",2,4:58,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Featherweight,Tiago dos Santos e Silva,Clay Collard,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Middleweight,Joe Riggs,Ron Stallings,Draw,DQ,2,2:28,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC 191: Johnson vs Dodson 2,"September 26, 2015",Lightweight,Joaquim Silva,Nazareno Malegarie,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Featherweight,Max Holloway,Charles Oliveira,Draw,KO/TKO,1,1:39,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Welterweight,Neil Magny,Erick Silva,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Welterweight,Patrick Cote,Joshua Burkman,Draw,"KO/TKO

      

        Punches",3,1:26,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Lightweight,Francisco Trinaldo,Chad Laprise,Draw,"KO/TKO

      

        Punches",1,2:43,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Lightweight,Olivier Aubin-Mercier,Tony Sims,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Women's Strawweight,Valerie Letourneau,Maryna Moroz,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Lightweight,Frankie Perez,Sam Stout,Draw,"KO/TKO

      

        Punches",1,0:54,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Bantamweight,Felipe Arantes,Yves Jabouin,Draw,"SUB

      

        Armbar",1,4:21,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Light Heavyweight,Nikita Krylov,Marcos Rogerio de Lima,Draw,"SUB

      

        Rear Naked Choke",1,2:29,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Flyweight,Chris Kelades,Chris Beal,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Lightweight,Shane Campbell,Elias Silverio,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Holloway vs Oliveira,"September 05, 2015",Light Heavyweight,Misha Cirkunov,Daniel Jolly,Draw,"KO/TKO

      

        Punches",1,4:45,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Light Heavyweight,Glover Teixeira,Ovince Saint Preux,Draw,"SUB

      

        Rear Naked Choke",3,3:10,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Lightweight,Beneil Dariush,Michael Johnson,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Middleweight,Derek Brunson,Sam Alvey,Draw,"KO/TKO

      

        Punches",1,2:19,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Heavyweight,Jared Rosholt,Timothy Johnson,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Women's Bantamweight,Amanda Nunes,Sara McMann,Draw,"SUB

      

        Rear Naked Choke",1,2:53,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Flyweight,Ray Borg,Geane Herrera,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Middleweight,Uriah Hall,Oluwale Bamgbose,Draw,"KO/TKO

      

        Punches",1,2:32,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Middleweight,Chris Camozzi,Tom Watson,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Flyweight,Dustin Ortiz,Willie Gates,Draw,"KO/TKO

      

        Punches",3,2:58,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Bantamweight,Frankie Saenz,Sirwan Kakai,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Light Heavyweight,Jonathan Wilson,Chris Dempsey,Draw,"KO/TKO

      

        Punch",1,0:50,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Bantamweight,Marlon Vera,Roman Salazar,Draw,"SUB

      

        Triangle Armbar",2,2:15,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC Fight Night: Teixeira vs Saint Preux,"August 23, 2015",Lightweight,Scott Holtzman,Anthony Christodoulou,Draw,"SUB

      

        Rear Naked Choke",3,2:40,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC 190: Rousey vs Correia,"August 08, 2015",Women's Bantamweight,Ronda Rousey,Bethe Correia,Draw,"KO/TKO

      

        Punch",1,0:34,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Light Heavyweight,Mauricio Rua,Rogerio Nogueira,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Lightweight,Glaico Franca Moreira,Fernando Bruno,Draw,"SUB

      

        Rear Naked Choke",3,4:46,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Bantamweight,Reginaldo Vieira,Dileno Lopes,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Heavyweight,Stefan Struve,Antonio Rodrigo Nogueira,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Heavyweight,Antonio Silva,Soa Palelei,Draw,"KO/TKO

      

        Punches",2,0:41,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Women's Strawweight,Claudia Gadelha,Jessica Aguilar,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Welterweight,Demian Maia,Neil Magny,Draw,"SUB

      

        Rear Naked Choke",2,2:52,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Light Heavyweight,Patrick Cummins,Rafael Cavalcante,Draw,"KO/TKO

      

        Elbows",3,0:45,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Welterweight,Warlley Alves,Nordine Taleb,Draw,"SUB

      

        Guillotine Choke",2,4:11,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Bantamweight,Iuri Alcantara,Leandro Issa,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Middleweight,Vitor Miranda,Clint Hester,Draw,"KO/TKO

      

        Elbows",2,2:38,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC 190: Rousey vs Correia,"August 08, 2015",Bantamweight,Guido Cannetti,Hugo Viana,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/a9c45a8b21eabadc
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Bantamweight,TJ Dillashaw,Renan Barao,Draw,"KO/TKO

      

        Punches",4,0:35,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Women's Bantamweight,Miesha Tate,Jessica Eye,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Lightweight,Edson Barboza,Paul Felder,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Lightweight,Joe Lauzon,Takanori Gomi,Draw,"KO/TKO

      

        Punches",1,2:37,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Light Heavyweight,Tom Lawlor,Gian Villante,Draw,"KO/TKO

      

        Punch",2,0:27,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Lightweight,Jim Miller,Danny Castillo,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Welterweight,Ben Saunders,Kenny Robertson,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Bantamweight,Bryan Caraway,Eddie Wineland,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Lightweight,James Krause,Daron Cruickshank,Draw,"SUB

      

        Rear Naked Choke",1,1:27,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Lightweight,Andrew Holbrook,Ramsey Nijem,Draw,S-DEC,3,5:00,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Women's Bantamweight,Elizabeth Phillips,Jessamyn Duke,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC on FOX: Dillashaw vs. Barao II,"August 01, 2015",Middleweight,Zak Cummings,Dominique Steele,Draw,"KO/TKO

      

        Punches",1,0:43,http://ufcstats.com/event-details/0c3838c8f7c620c2
UFC Fight Night: Bisping vs Leites,"July 25, 2015",Middleweight,Michael Bisping,Thales Leites,Draw,S-DEC,5,5:00,http://ufcstats.com/event-details/ef7fa30364cbe7f2
UFC Fight Night: Bisping vs Leites,"July 25, 2015",Lightweight,Evan Dunham,Ross Pearson,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/ef7fa30364cbe7f2
UFC Fight Night: Bisping vs Leites,"July 25, 2015",Lightweight,Joe Duffy,Ivan Jorge,Draw,"SUB

      

        Triangle Choke",1,3:05,http://ufcstats.com/event-details/ef7fa30364cbe7f2
UFC Fight Night: Bisping vs Leites,"July 25, 2015",Women's Strawweight,Joanne Wood,Cortney Casey,Draw,U-DEC,3,5:00,http://ufcstats.com/event-details/ef7fa30364cbe7f2
