Fighter,Elo,Last_Fight,Weight Class,Is_Champion,Title_Defenses,Is_Former_Champion,Status,Record
Randy Brown,1114.8100789030486,2025-11-08,Welterweight,False,0,False,,14-7-0
Diego Lopes,1112.326466613461,2025-09-13,Featherweight,False,0,False,,6-2-0
Tatsuro Taira,1111.8529073830452,2025-08-02,Flyweight,False,0,False,,7-1-0
Nathaniel Wood,1111.1248185572006,2025-10-25,Featherweight,False,0,False,,10-3-0
Gregory Rodrigues,1111.0944762701033,2025-11-15,Middleweight,False,0,False,,9-3-0
Montel Jackson,1109.902535547122,2025-10-11,Bantamweight,False,0,False,,9-3-0
Rinat Fakhretdinov,1107.6839415347854,2025-09-06,Welterweight,False,0,False,,6-0-1
Pat Sabatini,1107.6044671757218,2025-11-15,Featherweight,False,0,False,,8-2-0
Daniil Donchenko,1106.3693,2025-09-13,Welterweight,False,0,True,Former Champion,1-0-0
Joaquin Buckley,1104.9290586642603,2025-06-14,Welterweight,False,0,False,,11-5-0
Yair Rodriguez,1103.96960235769,2025-04-12,Featherweight,False,0,True,Former Champion,11-4-1
Mike Malott,1103.027951153,2025-10-18,Welterweight,False,0,False,,6-1-0
Waldo Cortes Acosta,1102.648737260415,2025-11-01,Heavyweight,False,0,False,,8-2-0
Justin Gaethje,1102.1895969026307,2025-03-08,Lightweight,False,0,True,Former Champion,9-5-0
Raoni Barcelos,1102.0572889796183,2025-11-08,Bantamweight,False,0,False,,10-4-0
Derrick Lewis,1100.698985885981,2025-07-12,Heavyweight,False,0,False,,20-10-0
Farid Basharat,1100.1497998336895,2025-10-04,Bantamweight,False,0,False,,5-0-0
Joe Pyfer,1099.4368944133819,2025-10-04,Middleweight,False,0,False,,6-1-0
Jake Matthews,1098.4272994162225,2025-09-27,Welterweight,False,0,False,,15-8-0
Alexa Grasso,1098.425463285676,2025-05-10,Women's Flyweight,False,0,True,Former Champion,8-5-1
Jessica Andrade,1097.5923450090245,2025-08-16,Women's Strawweight,False,0,True,Former Champion,17-13-0
Vicente Luque,1096.696328822482,2025-10-11,Welterweight,False,0,False,,16-8-0
Bryce Mitchell,1095.567957665783,2025-07-26,Bantamweight,False,0,False,,9-3-0
Jamahal Hill,1095.2809081100525,2025-06-21,Light Heavyweight,False,0,True,Former Champion,6-4-1
Roman Dolidze,1093.797124586768,2025-08-09,Middleweight,False,0,False,,9-4-0
Joshua Van,1093.7778907289787,2025-06-28,Flyweight,False,0,False,,8-1-0
Youssef Zalal,1092.6608908995695,2025-10-04,Featherweight,False,0,False,,8-3-1
