Fighter,Peak Elo,Weight Class,Record
Luan Chagas,1071.8579872693144,Welterweight,1-2-1
Ryan Jimmo,1071.5994617860058,Light Heavyweight,3-4-0
Pete Spratt,1071.593206137647,Welterweight,3-4-0
Jerrod Sanders,1071.5179010348754,Bantamweight,1-2-1
Carmelo Marrero,1071.4504775251103,Light Heavyweight,1-3-0
Luis Henrique,1071.4351185071682,Light Heavyweight,2-4-0
Katsunori Kikuno,1071.348696541877,Featherweight,2-3-0
Timothy Johnson,1071.3201716113067,Heavyweight,4-3-0
Kalib Starnes,1071.163487467491,Middleweight,2-3-0
Emil Meek,1071.0200169341551,Welterweight,1-3-0
Mike Jackson,1071.0161614965468,Welterweight,1-2-1
Junior Albini,1070.935137520516,Heavyweight,1-4-0
Jarjis Danho,1070.7491432810589,Heavyweight,1-1-1
Tim Hague,1070.6670445303118,Heavyweight,1-4-0
Tyron Woodley,1070.6593897829403,Welterweight,9-6-1
Nick Catone,1070.6471999999999,Middleweight,4-4-0
Henry Briones,1070.6471999999999,Bantamweight,1-4-0
Dave Herman,1070.6471999999999,Heavyweight,1-4-0
Josh Sampo,1070.6471999999999,Flyweight,1-3-0
Michinori Tanaka,1070.58777568135,Bantamweight,2-3-0
Justin Eilers,1070.581717053607,Heavyweight,1-3-0
Gil Castillo,1070.5244970880576,Welterweight,1-2-0
Damien Brown,1070.364616997136,Lightweight,2-4-0
Alptekin Ozkilic,1069.8946191138828,Flyweight,1-3-0
Christian Wellisch,1069.8453417950645,Light Heavyweight,2-3-0
Austin Lingo,1069.6961980572794,Featherweight,2-3-0
Kron Gracie,1069.6850581746924,Featherweight,1-3-0
Damian Stasiak,1069.6393320810305,Bantamweight,2-4-0
Aleksa Camur,1069.623238503519,Light Heavyweight,1-3-0
Maheshate,1069.4189848604256,Lightweight,2-4-0
Travis Lutter,1069.2887648679302,Middleweight,2-4-0
Jonathan Wilson,1069.2609219060068,Middleweight,1-3-0
Pedro Nobre,1069.2,Bantamweight,0-0-1
Robert Drysdale,1069.2,Light Heavyweight,0-0-1
Milton Vieira,1069.2,Featherweight,0-1-1
Bubba Bush,1069.2,Middleweight,0-1-1
Jesse Bongfeldt,1069.2,Middleweight,0-1-1
Ron Faircloth,1069.2,Light Heavyweight,0-0-1
Wagner Prado,1069.2,Light Heavyweight,0-2-1
John Allan,1069.2,Light Heavyweight,0-2-1
Bobby Moffett,1069.2,Featherweight,0-2-1
Alfonso Alcarez,1069.2,Lightweight,0-0-1
CJ Fernandes,1069.2,Welterweight,0-0-1
Keith Berish,1069.2,Middleweight,0-1-1
Christian Colombo,1069.2,Heavyweight,0-2-1
Mark Robinson,1069.2,Heavyweight,0-0-1
Ben Sosoli,1069.2,Heavyweight,0-1-1
Vernon White,1069.2,Light Heavyweight,0-1-1
Shannon Gugerty,1069.18056,Lightweight,2-3-0
Walel Watson,1069.18056,Bantamweight,1-3-0
Tor Troeng,1069.18056,Middleweight,1-3-0
Alvaro Herrera Mendoza,1069.18056,Lightweight,1-3-0
Charles Byrd,1069.18056,Middleweight,1-3-0
John Albert,1069.18056,Bantamweight,1-4-0
Cody McKenzie,1069.18056,Lightweight,3-4-0
Yorgan De Castro,1069.18056,Heavyweight,1-3-0
Gary Goodridge,1069.18056,Heavyweight,4-4-0
Chad Anheliger,1069.1103389204418,Bantamweight,2-3-0
Juan Adams,1068.9081839861303,Heavyweight,1-3-0
Mike Rio,1068.8739943083133,Lightweight,1-3-0
Jake Hadley,1068.820189329691,Bantamweight,3-4-0
Philip De Fries,1068.8153138271691,Heavyweight,2-3-0
Jorge Gurgel,1068.610738076458,Lightweight,3-4-0
Kazuki Tokudome,1068.581000776164,Lightweight,1-3-0
Paul Varelans,1068.5701530885356,Open Weight,4-4-0
Tafon Nchukwi,1068.5520000000001,Middleweight,2-4-0
Chris Gruetzemacher,1068.5520000000001,Lightweight,3-4-0
Jessin Ayari,1068.5520000000001,Lightweight,1-3-0
Carlos Hernandez,1068.5520000000001,Flyweight,3-4-0
Bojan Velickovic,1068.5520000000001,Welterweight,2-3-1
Justin Salas,1068.5520000000001,Lightweight,3-4-0
Guram Kutateladze,1068.5520000000001,Lightweight,2-3-0
Ricky Turcios,1068.5520000000001,Bantamweight,2-3-0
Mark Eddiva,1068.5520000000001,Featherweight,1-3-0
Sam Hoger,1068.5520000000001,Light Heavyweight,2-3-0
Richard Walsh,1068.5520000000001,Welterweight,2-4-0
Marcus Aurelio,1068.4755200607624,Lightweight,2-4-0
Jimmy Flick,1068.4200370609062,Flyweight,2-4-0
Robert Whiteford,1068.176570035931,Featherweight,2-3-0
Harold Howard,1068.123406189022,Open Weight,1-2-0
Steven Graham,1068.123406189022,Heavyweight,1-1-0
Azat Maksum,1068.0517185297542,Flyweight,1-3-0
Josh Quinlan,1067.9624074219034,Welterweight,1-3-0
Garrett Armfield,1067.9600879947664,Bantamweight,2-3-0
Aaron Pico,1067.9211586817275,Featherweight,0-1-0
Zhang Tiequan,1067.8823727410386,Lightweight,1-3-0
Darko Stosic,1067.8742465112764,Light Heavyweight,1-3-0
Kayla Harrison,1067.8016492033914,Women's Bantamweight,3-0-0
Victor Altamirano,1067.662799605304,Flyweight,2-4-0
Jordan Espinosa,1067.6296120697818,Flyweight,2-4-0
Patchy Mix,1067.5887912178023,Bantamweight,0-2-0
Edwin Figueroa,1067.5832248121437,Bantamweight,2-4-0
Cody Donovan,1067.581951278255,Light Heavyweight,1-3-0
Rob Kimmons,1067.5241968408754,Middleweight,3-4-0
Tucker Lutz,1067.5074245851938,Featherweight,1-3-0
Katsuhisa Fujii,1067.5055835405826,Open Weight,1-1-0
Renzo Gracie,1067.3925752804603,Welterweight,0-1-0
Francis Marshall,1067.381270222738,Featherweight,2-3-0
Rizvan Kuniev,1067.3703622400812,Heavyweight,0-1-0
Justin Jaynes,1067.3349589528152,Featherweight,1-4-0
Jenel Lausa,1067.2342599563729,Flyweight,1-3-0
Nikolas Motta,1067.1103518186312,Lightweight,3-3-1
Chico Camus,1067.0921417812963,Flyweight,3-4-1
Ron van Clief,1067.0718259787957,Open Weight,0-1-0
Jesse Butler,1067.062364728086,Bantamweight,0-2-0
Craig White,1066.9988740819122,Welterweight,0-2-0
Sai Wang,1066.955978912376,Welterweight,1-1-0
Marcelo Golm,1066.8597247940845,Heavyweight,1-3-0
Trevor Peek,1066.7046857381752,Lightweight,2-3-0
Yan Cabral,1066.4817177195919,Lightweight,2-3-0
James Toney,1066.4514572704861,Heavyweight,0-1-0
Ange Loosa,1066.4328541785933,Welterweight,2-3-1
Roman Bogatov,1066.3254729844875,Lightweight,0-1-0
Derrick Krantz,1065.8569099256783,Welterweight,0-2-0
Mike Ricci,1065.8412,Lightweight,1-2-0
Deron Winn,1065.6167639096918,Middleweight,2-3-0
Leandro Silva,1065.4413232686668,Lightweight,3-4-1
Roger Hollett,1063.927590458796,Light Heavyweight,0-2-0
Don Shainis,1063.9042856615272,Featherweight,0-2-0
Alexander Munoz,1063.8683518141984,Lightweight,1-2-0
Zachary Scroggin,1063.7616318800576,Welterweight,0-1-0
Amar Suloev,1063.6673695014974,Middleweight,0-2-0
Cole Williams,1063.66550700971,Welterweight,0-2-0
Tuco Tokkos,1063.6511797089572,Light Heavyweight,1-2-0
Marcus Buchecha,1063.6416078449934,Heavyweight,0-1-0
Trey Ogden,1063.5293881440693,Lightweight,3-3-1
Randy Costa,1063.493734039893,Bantamweight,2-4-0
Julian Sanchez,1063.2946210359028,Open Weight,0-1-0
Jeff Joslin,1063.290938095549,Welterweight,0-1-0
Sedriques Dumas,1063.1782067646625,Middleweight,3-4-1
Kai Asakura,1063.1652111206063,Flyweight,0-2-0
Jamey Simmons,1063.0517494973515,Bantamweight,0-2-0
Trevin Jones,1063.024307440466,Bantamweight,1-4-1
Brock Jardine,1062.8724639717207,Welterweight,0-2-0
Minoki Ichihara,1062.7529769235043,Open Weight,0-1-0
Robert Ruchala,1062.5285570470942,Featherweight,0-1-0
Anthony Macias,1062.4993740307007,Open Weight,1-2-0
Koji Oishi,1062.4730872375967,Welterweight,0-2-0
Liudvik Sholinian,1062.4259801868945,Bantamweight,0-2-0
Chris Haseman,1062.2781437399806,Light Heavyweight,0-1-0
Antonio Mendes,1062.2635370860194,Light Heavyweight,0-2-0
Moti Horenstein,1062.1654841025515,Heavyweight,0-2-0
Mehdi Baghdad,1062.1146708642407,Lightweight,0-2-0
Quinn Mulhern,1062.069999701374,Lightweight,0-2-0
Alberto Crane,1061.9597850092648,Lightweight,0-2-0
Stefan Sekulic,1061.8727508855636,Welterweight,0-2-0
Bobby Hoffman,1061.8661866552186,Heavyweight,0-2-1
Matt Bessette,1061.7991713522522,Featherweight,0-2-0
Chad Griggs,1061.7892766478913,Light Heavyweight,0-2-0
Thomas Ramirez,1061.7247434745605,Open Weight,0-1-0
Justin Levens,1061.699280811008,Middleweight,0-2-0
Michael McBride,1061.6698702607027,Lightweight,0-2-0
Roberto Romero,1061.6589411795524,Featherweight,0-2-0
Greg Stott,1061.6402281954338,Heavyweight,0-1-0
Sean Salmon,1061.5350573948012,Light Heavyweight,0-2-0
Landon Quinones,1061.4118606227798,Lightweight,0-2-0
Kazuhiro Nakamura,1061.3599320506705,Light Heavyweight,0-2-0
Nohelin Hernandez,1061.2468658488472,Bantamweight,0-2-0
Ryan Couture,1061.2073734258001,Lightweight,0-2-0
Azunna Anyanwu,1061.204050265656,Heavyweight,0-1-0
Reese Andy,1061.1474422072479,Light Heavyweight,0-2-0
Chad Reiner,1061.1443814963916,Welterweight,0-2-0
Oliver Enkamp,1061.114899211458,Welterweight,0-2-0
Peter Barrett,1061.1076091479608,Featherweight,0-2-0
Jason Tan,1061.0453258921991,Welterweight,0-2-0
Mats Nilsson,1060.9851084222998,Welterweight,0-2-0
Kaynan Kruschewsky,1060.9807924160875,Lightweight,0-2-0
Tracy Cortez,1060.968978579896,Women's Flyweight,6-2-0
Joey Gambino,1060.961880006467,Featherweight,0-2-0
Josh Hendricks,1060.9463107100153,Heavyweight,0-1-0
Mark Choinski,1060.9374161849507,Lightweight,0-1-0
Danny Downes,1060.9043963931047,Lightweight,0-2-0
Adam Yandiev,1060.8438884453792,Middleweight,0-1-0
Justin Jones,1060.837728653602,Middleweight,0-2-0
Terrence Mitchell,1060.8029890238577,Bantamweight,0-2-0
Allan Goes,1060.7681059559184,Middleweight,0-1-0
Roman Salazar,1060.758100688596,Bantamweight,0-2-1
Carl Deaton,1060.734182551538,Lightweight,0-2-0
Brandon Wolff,1060.733953410528,Welterweight,0-2-0
Rainy Martinez,1060.7302986447805,Lightweight,0-1-0
Louie Sutherland,1060.725987176975,Heavyweight,0-1-0
Luan Lacerda,1060.7072050793545,Bantamweight,1-2-0
Alex Soto,1060.6930321345621,Bantamweight,0-2-0
Doug Evans,1060.64250150915,Lightweight,0-2-0
Mitch Raposo,1060.6421149453693,Flyweight,1-2-0
Rex Holman,1060.6402029669405,Light Heavyweight,0-1-0
Steve Vigneault,1060.5759878197628,Middleweight,0-1-0
Juancamilo Ronderos,1060.5562745866137,Flyweight,0-2-0
Jackson McVey,1060.5196837921035,Catch Weight,0-2-0
KB Bhullar,1060.443629667378,Middleweight,0-2-0
Dokonjonosuke Mishima,1060.4243337979678,Lightweight,0-2-0
Alexandre Ferreira,1060.391979608659,Light Heavyweight,0-1-0
Tom Gallicchio,1060.3866195395976,Welterweight,0-1-0
Alexandre Barros,1060.333397479088,Welterweight,0-1-0
Tre'ston Vines,1060.317135397809,Middleweight,0-1-0
Melton Bowen,1060.2628605132102,Open Weight,0-1-0
Tony Halme,1060.2628605132102,Heavyweight,0-1-0
Todd Butler,1060.2628605132102,Lightweight,0-1-0
Chris Price,1060.191149134596,Middleweight,0-2-0
Bill Mahood,1060.191149134596,Light Heavyweight,0-1-0
AJ Cunningham,1060.1599556830763,Bantamweight,0-2-0
Rudyard Moncayo,1060.101173075281,Open Weight,0-1-0
Ray Rodriguez,1060.079636034544,Bantamweight,0-2-0
Danny Mitchell,1060.044990065983,Welterweight,0-2-0
Alvin Hines,1060.0417344056284,Heavyweight,0-1-0
JC Cottrell,1060.0358894949106,Lightweight,0-2-0
Tim Gorman,1060.0140906435133,Bantamweight,0-2-0
Matt Horwich,1059.9886757312136,Middleweight,0-2-0
Mike Whitehead,1059.9884854510465,Light Heavyweight,0-1-0
Josh Shockman,1059.9884854510465,Heavyweight,0-1-0
Bruno Souza,1059.9884854510465,Featherweight,0-2-0
Tateki Matsuda,1059.9884854510465,Flyweight,0-2-0
Yuki Sasaki,1059.9239885672725,Middleweight,0-1-0
Gaetano Pirrello,1059.913856515064,Bantamweight,0-2-0
Victor Valimaki,1059.8885034245163,Light Heavyweight,0-2-0
John Marsh,1059.8885034245163,Heavyweight,0-1-0
Josh Copeland,1059.8456041165446,Heavyweight,0-2-0
Paul Redmond,1059.8456041165446,Featherweight,0-2-0
Adrian Serrano,1059.8456041165446,Welterweight,0-1-0
Yusuke Kasuya,1059.8447576883698,Lightweight,0-2-0
Jin Soo Son,1059.8345359691655,Bantamweight,0-2-0
Thomas Gifford,1059.8176607007779,Lightweight,0-2-0
Gabriel Silva,1059.8070477911228,Bantamweight,0-2-0
Tofiq Musayev,1059.7959990713339,Catch Weight,0-1-0
Steve Lopez,1059.788100548842,Lightweight,0-2-0
Harry Moskowitz,1059.7743732492154,Heavyweight,0-2-0
Austin Springer,1059.726766346284,Featherweight,0-1-0
Elvis Mutapcic,1059.6866174932352,Middleweight,0-2-1
Zviad Lazishvili,1059.6842092414022,Bantamweight,0-1-0
Dan Evensen,1059.6178297714757,Heavyweight,0-2-0
Denis Stojnic,1059.5911856254531,Heavyweight,0-2-0
Joe Brammer,1059.558265525659,Lightweight,0-2-0
Shane del Rosario,1059.541545074643,Heavyweight,0-2-0
Mark Striegl,1059.5283975918194,Featherweight,0-2-0
Azamat Gashimov,1059.5197155225612,Flyweight,0-2-0
Brian Houston,1059.5095107754917,Middleweight,0-2-0
Joao Zeferino,1059.506983276786,Welterweight,0-2-0
Carlos Huachin,1059.4717776442378,Bantamweight,0-2-0
Jesse Strader,1059.4472203407615,Bantamweight,0-2-0
Ronys Torres,1059.4159670676,Lightweight,0-2-0
Chris Heatherly,1059.4111674178134,Welterweight,0-2-0
Kevin Jordan,1059.4043172223248,Heavyweight,0-2-0
Caros Fodor,1059.4031366555407,Lightweight,0-1-0
Neil Wain,1059.3950758742035,Heavyweight,0-1-0
Yanis Ghemmouri,1059.3832012780467,Bantamweight,0-2-0
Jonavin Webb,1059.3673971566977,Welterweight,0-2-0
Joao Roque,1059.3246844442103,Lightweight,0-1-0
Koji Kitao,1059.3210410930103,Open Weight,0-1-0
Frank Caracci,1059.2851585272517,Lightweight,0-1-0
Guto Inocente,1059.2851585272517,Light Heavyweight,0-2-0
CM Punk,1059.2851585272517,Welterweight,0-1-1
Valeri Ignatov,1059.2851585272517,Lightweight,0-2-0
Christophe Leninger,1059.2851585272517,Lightweight,0-2-0
John Dowdy,1059.2851585272517,Open Weight,0-1-0
Yasuhiro Urushitani,1059.2795341986437,Flyweight,0-2-0
Paul Rodriguez,1059.240972240041,Welterweight,0-1-0
John Halverson,1059.240972240041,Lightweight,0-2-0
Harry Hardwick,1059.2384571639325,Lightweight,0-1-0
Stewart Nicoll,1059.2244605812762,Flyweight,0-2-0
Askar Mozharov,1059.2001645516368,Light Heavyweight,0-1-0
Antonio McKee,1059.1572180716125,Lightweight,0-1-0
Victor Martinez,1059.142931965957,Lightweight,0-2-0
Marcelo Aguiar,1059.1418810174139,Welterweight,0-1-0
Joseph Gigliotti,1059.135864198996,Middleweight,0-2-0
Julio Paulino,1059.1246287436488,Welterweight,0-2-0
Tim Williams,1059.1216463741098,Middleweight,0-2-0
Martin Sano,1059.1014788525165,Welterweight,0-1-0
Val Woodburn,1059.0699007275193,Welterweight,0-2-0
Andre Winner,1058.9652681924126,Lightweight,2-4-0
Brian Gassaway,1058.9215015189623,Welterweight,0-1-0
Mitch Ramirez,1058.8962116268535,Lightweight,0-2-0
Ednaldo Oliveira,1058.8818318267251,Light Heavyweight,0-2-0
Kyle Daukaus,1058.8263686473522,Middleweight,4-4-1
Eddie Ruiz,1058.8115691709972,Lightweight,0-1-0
Joe Merritt,1058.7219901770309,Welterweight,0-1-0
Brandon Melendez,1058.7155011708494,Lightweight,0-1-0
Hernani Perpetuo,1058.6964206556083,Welterweight,0-2-0
Takenori Sato,1058.633091539112,Welterweight,0-2-0
Amilcar Alves,1058.5581282686762,Welterweight,0-2-0
Phil Johns,1058.5414256207841,Welterweight,0-1-0
Brendon Marotte,1058.52808473084,Featherweight,0-2-0
Willamy Freire,1058.514885651653,Lightweight,0-1-0
Fabio Gurgel,1058.5053557284432,Open Weight,0-1-0
Mike Wessel,1058.5045815333954,Heavyweight,0-1-0
Michal Figlak,1058.4588684911598,Lightweight,0-2-0
Jason Godsey,1058.4459624407784,Heavyweight,0-2-0
Jacqueline Cavalcanti,1058.4389028419012,Women's Bantamweight,5-0-0
Juan Manuel Puig,1058.4322889952584,Featherweight,0-2-0
Todd Brown,1058.4156883800845,Light Heavyweight,0-2-0
Andreas Stahl,1058.4,Welterweight,0-2-0
Rocky Lee,1058.4,Featherweight,0-1-0
Andre Gusmao,1058.4,Light Heavyweight,0-2-0
Brad Gumm,1058.4,Welterweight,0-1-1
Cory Hendricks,1058.4,Light Heavyweight,0-1-0
James Zikic,1058.4,Light Heavyweight,0-1-0
Ryan McGillivray,1058.4,Welterweight,0-1-0
Chris Tickle,1058.4,Lightweight,0-1-0
James Mulheron,1058.4,Heavyweight,0-1-0
Dan Barrera,1058.4,Welterweight,0-1-0
Chuck O'Neil,1058.4,Welterweight,0-1-0
Nazareno Malegarie,1058.4,Lightweight,0-1-0
Carlton Minus,1058.4,Catch Weight,0-2-0
Donny Walker,1058.4,Bantamweight,0-2-0
Jianping Yang,1058.4,Featherweight,0-1-0
James Hammortree,1058.4,Middleweight,0-1-0
Marcin Wrzosek,1058.4,Lightweight,0-1-0
Alex Gorgees,1058.4,Lightweight,0-1-0
Alex Stiebling,1058.4,Middleweight,0-1-0
Roger Gracie,1058.4,Middleweight,0-1-0
Nolan Ticman,1058.4,Flyweight,0-2-0
Stephen Bass,1058.4,Featherweight,0-1-0
Daniel Spohn,1058.4,Light Heavyweight,0-1-0
Abner Lloveras,1058.4,Lightweight,0-1-0
Gadzhi Omargadzhiev,1058.4,Welterweight,0-2-0
Pedro Falcao,1058.4,Bantamweight,0-2-0
Igor Severino,1058.4,Flyweight,0-1-0
Wallid Ismail,1058.4,Lightweight,0-1-0
Collin Hart,1058.4,Middleweight,0-1-0
Bobby Southworth,1058.4,Light Heavyweight,0-1-0
Bernardo Magalhaes,1058.4,Lightweight,0-2-0
Alex Torres,1058.4,Featherweight,0-1-0
Carlos Candelario,1058.4,Flyweight,0-2-0
Alex Ricci,1058.4,Lightweight,0-2-0
Sako Chivitchian,1058.4,Lightweight,0-1-0
Chris Indich,1058.4,Welterweight,0-2-0
Allan Zuniga,1058.4,Lightweight,0-1-0
Richard Crunkilton,1058.4,Lightweight,0-1-0
Tyler Diamond,1058.4,Featherweight,0-1-0
Justin Wren,1058.4,Heavyweight,0-1-0
Townsend Saunders,1058.4,Lightweight,0-2-0
Alan Omer,1058.4,Featherweight,0-2-0
Jon Manley,1058.4,Welterweight,0-1-0
Carls John De Tomas,1058.4,Bantamweight,0-2-0
Rostem Akman,1058.4,Welterweight,0-2-0
Romie Aram,1058.4,Welterweight,0-1-0
Yuri Villefort,1058.4,Welterweight,0-2-0
Tyler Toner,1058.4,Featherweight,0-1-0
Brendan Loughnane,1058.4,Lightweight,0-1-0
Mark Scanlon,1058.4,Welterweight,0-1-0
Dante Rivera,1058.4,Middleweight,0-1-0
Dave Galera,1058.4,Bantamweight,0-1-0
Kwan Ho Kwak,1058.4,Bantamweight,0-2-0
Steve Byrnes,1058.4,Middleweight,0-1-0
Rodolfo Rubio Perez,1058.4,Featherweight,0-1-0
John Teixeira,1058.4,Featherweight,0-1-0
Jim Wallhead,1058.4,Welterweight,0-2-0
Curtis Stout,1058.4,Middleweight,0-2-0
Chris Spang,1058.4,Welterweight,0-1-0
Joe Giannetti,1058.4,Lightweight,0-1-0
Noe Hernandez,1058.4,Middleweight,0-1-0
Steve Berger,1058.4,Welterweight,0-2-1
Nick Fiore,1058.4,Lightweight,0-2-0
Antonio Banuelos,1058.4,Bantamweight,0-1-0
Josh Clopton,1058.4,Featherweight,0-2-0
Luiz Dutra,1058.4,Welterweight,0-2-0
Cameron VanCamp,1058.3018911615288,Lightweight,0-2-0
Jordan Rinaldi,1058.2640297378368,Featherweight,2-3-0
Nick Agallar,1058.2437564477793,Lightweight,0-1-0
Joe Son,1058.1438853255142,Open Weight,0-1-0
Ramiro Hernandez,1058.1201941966913,Bantamweight,0-2-0
Antonio Trocoli,1058.0863702348852,Middleweight,0-2-0
Reza Nasri,1058.0645790978515,Open Weight,0-1-0
Cortavious Romious,1058.0539402624363,Bantamweight,0-2-0
Alberta Cerra Leon,1058.0225653516652,Open Weight,0-1-0
Hugo Duarte,1058.011056081946,Heavyweight,0-1-0
Jason Novelli,1057.987333996151,Lightweight,0-2-0
Pat Audinwood,1057.981308480147,Lightweight,0-2-0
Jim Mullen,1057.973367061586,Heavyweight,0-1-0
Chase Gormley,1057.9727705625578,Heavyweight,0-2-0
Kevin Christian,1057.9285652616422,Light Heavyweight,0-1-0
Kelly Dullanty,1057.911325404605,Lightweight,0-1-0
Mike Stumpf,1057.89906085911,Welterweight,0-2-0
Stevie Lynch,1057.8805018139674,Welterweight,0-1-0
Ryan Parker,1057.8763735723924,Open Weight,0-1-0
Rodrigo de Lima,1057.8731728273046,Lightweight,0-2-0
Keiichiro Yamamiya,1057.862697423569,Middleweight,0-1-0
Joey Gomez,1057.8570247732498,Bantamweight,0-2-0
Jesse Sanders,1057.8542707447589,Welterweight,0-1-0
Floyd Sword,1057.8393655468155,Middleweight,0-1-0
Ryan Thomas,1057.830164528199,Welterweight,0-2-0
Jason Black,1057.830164528199,Lightweight,0-2-0
Eric Wisely,1057.8254945318492,Featherweight,0-2-0
Jay Silva,1057.8143294794086,Middleweight,0-2-0
Yoshinori Horie,1057.8058047704542,Featherweight,0-1-0
Scott Junk,1057.8032453198746,Heavyweight,0-1-0
Trent Jenkins,1057.7913752275872,Open Weight,0-1-0
Anthony Christodoulou,1057.7798303912625,Lightweight,0-2-0
Jordan Radev,1057.774657700687,Middleweight,0-2-0
Derrick Noble,1057.7627924027797,Welterweight,0-1-0
Tom DeBlass,1057.757566905885,Middleweight,0-2-0
Nick Klein,1057.7528231424246,Middleweight,0-2-0
Ernie Verdicia,1057.752,Open Weight,0-1-0
Charlie Ward,1057.752,Welterweight,0-2-0
Brodie Farber,1057.752,Catch Weight,0-2-0
Anistavio Medeiros,1057.752,Featherweight,0-1-0
Ulysses Gomez,1057.752,Flyweight,0-2-0
Cale Yarbrough,1057.752,Middleweight,0-1-0
Richie Smullen,1057.752,Lightweight,0-1-0
John Kolosci,1057.752,Welterweight,0-1-0
Delson Heleno,1057.752,Middleweight,0-1-0
Houston Dorr,1057.752,Heavyweight,0-1-0
Sammy Morgan,1057.752,Welterweight,0-2-0
Aaron Wilkinson,1057.752,Lightweight,0-1-0
Aalon Cruz,1057.752,Lightweight,0-2-0
Emmanuel Yarborough,1057.752,Open Weight,0-1-0
Fredson Paixao,1057.752,Featherweight,0-1-0
Chris Sanford,1057.752,Middleweight,0-1-0
Lodune Sincaid,1057.752,Middleweight,0-1-0
Victor Rodriguez,1057.752,Flyweight,0-2-0
Josh Stuart,1057.752,Lightweight,0-1-0
Joe Pardo,1057.752,Heavyweight,0-1-0
Manuel Rodriguez,1057.752,Welterweight,0-1-0
Elisha Ellison,1057.752,Heavyweight,0-1-0
Max Gimenis,1057.752,Heavyweight,0-1-0
Courtney Turner,1057.752,Lightweight,0-1-0
Eugenio Tadeu,1057.752,Lightweight,0-1-0
Joey Gilbert,1057.752,Lightweight,0-1-0
Anthony Ivy,1057.752,Welterweight,0-2-0
Johnny Rees,1057.752,Welterweight,0-2-0
Andy Anderson,1057.752,Open Weight,0-1-0
Bharat Kandare,1057.752,Featherweight,0-1-0
Vernon Ramos Ho,1057.752,Welterweight,0-1-0
Billy Miles,1057.752,Welterweight,0-1-0
Cesar Arzamendia,1057.752,Lightweight,0-2-0
Razak Al-Hassan,1057.752,Light Heavyweight,0-2-0
Eric Martin,1057.752,Heavyweight,0-1-0
Pat Schilling,1057.752,Featherweight,0-2-0
Aaron Brink,1057.752,Heavyweight,0-1-0
Asbel Cancio,1057.752,Open Weight,0-1-0
Jason Thacker,1057.752,Middleweight,0-1-0
Joseph Sandoval,1057.752,Bantamweight,0-2-0
Dan Stittgen,1057.752,Welterweight,0-2-0
Andy Wang,1057.752,Lightweight,0-1-0
Kevin Rosier,1057.752,Open Weight,0-1-0
Brad Morris,1057.752,Light Heavyweight,0-2-0
Steve Montgomery,1057.752,Middleweight,0-2-0
Luis Ramos,1057.752,Welterweight,0-2-0
Alex Schoenauer,1057.752,Middleweight,0-1-0
Sean Gannon,1057.752,Heavyweight,0-1-0
Jules Bruchez,1057.752,Light Heavyweight,0-1-0
Royce Alger,1057.752,Middleweight,0-2-0
Jason Fairn,1057.752,Open Weight,0-1-0
Chris Saunders,1057.752,Lightweight,0-1-0
Larry Cureton,1057.752,Open Weight,0-2-0
Crafton Wallace,1057.752,Middleweight,0-2-0
Josh Rafferty,1057.752,Welterweight,0-1-0
Daniel Jolly,1057.752,Light Heavyweight,0-2-0
David Roberts,1057.752,Lightweight,0-1-0
Wade Shipp,1057.752,Heavyweight,0-1-0
Thaddeus Luster,1057.752,Open Weight,0-1-0
Danny Abbadi,1057.752,Lightweight,0-2-0
Jack McGlaughlin,1057.752,Open Weight,0-1-0
Darrel Gholar,1057.752,Middleweight,0-1-0
Jimmy Quinlan,1057.752,Middleweight,0-1-0
Neil Grove,1057.752,Heavyweight,0-1-0
Sherman Pendergarst,1057.752,Heavyweight,0-1-0
Wes Combs,1057.752,Light Heavyweight,0-2-0
Flavio Luiz Moura,1057.752,Middleweight,0-1-0
Ben Wall,1057.752,Lightweight,0-2-0
Matt Andersen,1057.752,Open Weight,0-1-0
Gerald Strebendt,1057.752,Lightweight,0-1-0
Suman Mokhtarian,1057.752,Featherweight,0-2-0
Cain Carrizosa,1057.752,Lightweight,0-2-0
Dave Berry,1057.752,Open Weight,0-1-0
Sean Daugherty,1057.752,Open Weight,0-1-0
David Lee,1057.752,Lightweight,0-2-0
Richardson Moreira,1057.752,Middleweight,0-2-0
Francesco Maturi,1057.752,Open Weight,0-1-0
Zach Light,1057.752,Welterweight,0-1-0
Adriano Santos,1057.752,Middleweight,0-1-0
Josh Shockley,1057.752,Lightweight,0-2-0
Michel Batista,1057.752,Heavyweight,0-1-0
Justin Frazier,1057.752,Heavyweight,0-1-0
Paulo Santos,1057.752,Lightweight,0-1-0
Jack May,1057.752,Heavyweight,0-2-0
Ross Pointon,1057.752,Welterweight,0-2-0
Tim McKenzie,1057.752,Middleweight,0-1-0
Frank Lester,1057.752,Welterweight,0-1-0
Richie Hightower,1057.752,Welterweight,0-1-0
Joey Roberts,1057.752,Heavyweight,0-1-0
Chris Condo,1057.752,Heavyweight,0-1-0
Cory Walmsley,1057.752,Light Heavyweight,0-1-0
Dorian Price,1057.752,Welterweight,0-1-0
Manolo Zecchini,1057.752,Featherweight,0-1-0
Adam Cella,1057.752,Middleweight,0-1-0
David Hood,1057.752,Open Weight,0-1-0
Albert Cheng,1057.752,Welterweight,0-1-0
Tom Egan,1057.752,Welterweight,0-1-0
Paul Creighton,1057.745337922029,Lightweight,0-1-0
