Fighter,Peak Elo,Weight Class,Record
Jordan Johnson,1163.230343266964,Middleweight,4-0-0
Johnny Case,1162.9410520441647,Lightweight,4-2-0
Chris Wade,1162.763198649304,Lightweight,5-2-0
Cathal Pendred,1162.4628669841609,Welterweight,4-2-0
Jerry Bohlander,1162.0044597719348,Middleweight,5-2-0
Kyoji Horiguchi,1161.8636865829017,Flyweight,7-1-0
Vitor Petrino,1161.756462175318,Heavyweight,6-2-0
Mick Parkin,1161.652558764549,Heavyweight,4-1-0
Karo Parisyan,1161.375475190097,Welterweight,8-4-1
Daniel Marcos,1161.3659051307677,Bantamweight,5-1-1
Zhang Weili,1160.8769924902272,Women's Flyweight,10-3-0
Bo Nickal,1160.7390953721501,Middleweight,5-1-0
Paulo Costa,1160.696434086485,Middleweight,7-4-0
Chris Padilla,1160.6589630748963,Lightweight,4-0-0
Matheus Nicolau,1160.4432927819669,Flyweight,7-4-0
Mairon Santos,1160.2506224485112,Lightweight,3-0-0
Andre Lima,1159.9590700066885,Flyweight,4-0-0
Laverne Clark,1159.80942301288,Welterweight,4-1-0
Tim Kennedy,1159.7006998495258,Middleweight,3-2-0
James Krause,1159.2996530646615,Welterweight,9-4-0
Justin Willis,1159.0931249757507,Heavyweight,4-1-0
Melquizael Costa,1158.589920075472,Featherweight,5-2-0
Nazim Sadykhov,1157.4374107567332,Lightweight,4-0-1
Marco Ruas,1157.3778841842548,Heavyweight,4-2-0
Muhammad Naimov,1156.2977793308055,Featherweight,5-1-0
Brandon Moreno,1156.14462272596,Flyweight,11-5-2
Andre Muniz,1156.018323296765,Middleweight,6-4-0
Oleg Taktarov,1155.473192308867,Open Weight,6-2-1
Bogdan Guskov,1155.4100385597321,Light Heavyweight,4-1-0
HyunSung Park,1155.2615498665264,Flyweight,3-2-0
Alejandro Perez,1154.9016016609737,Featherweight,8-4-1
Taylor Lapilus,1154.663567568083,Bantamweight,6-2-0
Curtis Millender,1154.5813608729047,Welterweight,3-2-0
Raoni Barcelos,1154.5152159350482,Bantamweight,10-4-0
Sodiq Yusuff,1153.7897963218584,Lightweight,6-4-0
Jon Madsen,1153.7718065064082,Heavyweight,4-1-0
Said Nurmagomedov,1153.6577787813812,Bantamweight,7-4-0
Raul Rosas Jr.,1153.4636684306327,Bantamweight,5-1-0
Jimmie Rivera,1153.1018639194142,Bantamweight,7-4-0
Zak Cummings,1152.8974947710371,Light Heavyweight,10-4-0
Quillan Salkilld,1152.65076229077,Lightweight,3-0-0
Josh Samman,1152.209404428378,Middleweight,3-2-0
Daniel Santos,1152.0770579529487,Catch Weight,4-1-0
Brandon Royval,1152.0482983259485,Flyweight,7-4-0
JunYong Park,1151.977100313686,Middleweight,9-4-0
SuYoung You,1151.7450238325903,Bantamweight,3-0-0
Rinya Nakamura,1150.9621025445658,Bantamweight,4-1-0
Sage Northcutt,1150.4855927993196,Welterweight,6-2-0
Daniel Kelly,1150.3742662294499,Middleweight,6-4-0
Ryan LaFlare,1150.274382790162,Welterweight,7-3-0
Claudio Silva,1150.2478072874057,Welterweight,5-3-0
Hyder Amil,1148.9822746315083,Featherweight,3-2-0
Ronny Markes,1148.9720918180658,Middleweight,3-2-0
Michael Page,1148.3746855240588,Middleweight,3-1-0
Tim Credeur,1148.2873785484564,Middleweight,3-2-0
Mike Davis,1147.8935533704052,Lightweight,5-2-0
Alberto Mina,1147.5084600056323,Welterweight,3-1-0
Makhmud Muradov,1147.3061360100376,Middleweight,4-2-1
Shane Burgos,1147.2181716314058,Featherweight,8-3-0
Edimilson Souza,1147.0897363590095,Featherweight,3-1-0
Sam Patterson,1146.9340285208389,Welterweight,4-1-0
Allan Nascimento,1146.884515075094,Catch Weight,4-1-0
Nate Maness,1146.6321285100503,Flyweight,5-2-0
Kyler Phillips,1146.5807197058723,Bantamweight,6-3-0
Zhang Mingyang,1146.441829930806,Light Heavyweight,3-1-0
Claude Patrick,1146.428448594605,Welterweight,3-1-0
Adrian Yanez,1146.3856485089163,Bantamweight,6-3-0
Nursulton Ruziboev,1146.3671529280607,Middleweight,4-1-0
Andre Petroski,1146.3394219051006,Middleweight,8-4-0
Ruslan Magomedov,1145.8281321551942,Heavyweight,3-0-0
Mirsad Bektic,1145.3072801365556,Featherweight,6-4-0
Dan Hardy,1145.2514521278522,Welterweight,6-4-0
Paul Sass,1145.2096734133636,Lightweight,3-2-0
Magnus Cedenblad,1145.037790257039,Middleweight,4-2-0
Bas Rutten,1145.0141715754282,Heavyweight,2-0-0
Payton Talbott,1144.9668911593635,Bantamweight,4-1-0
Gerald Harris,1144.9045688807375,Middleweight,3-1-0
Youssef Zalal,1144.6715493063891,Featherweight,8-3-1
Elias Silverio,1144.564299841079,Lightweight,3-2-0
Joanderson Brito,1144.5402608618988,Featherweight,5-3-0
Mauricio Ruffy,1144.3784003881208,Lightweight,3-1-0
Rousimar Palhares,1144.1724965807982,Welterweight,8-4-0
Brett Johns,1143.5074682123168,Bantamweight,5-2-0
Eddie Alvarez,1143.4324706397983,Lightweight,4-3-1
Askar Askarov,1143.2449657905622,Flyweight,3-1-1
Alexandr Romanov,1142.9500986575204,Heavyweight,7-3-0
Brad Blackburn,1142.936776565665,Welterweight,3-2-0
Valter Walker,1142.9239040026098,Heavyweight,4-1-0
Manuel Torres,1142.9157599212622,Lightweight,4-1-0
Javid Basharat,1142.8260804403317,Bantamweight,3-2-1
Jack Shore,1142.5306066702392,Featherweight,6-3-0
Oban Elliott,1142.3095662286012,Welterweight,3-1-0
Rafael Estevam,1142.0904111070383,Flyweight,3-0-0
Dean Lister,1142.078110572445,Middleweight,4-2-0
Jonathan Pearce,1141.9620037620612,Featherweight,5-4-0
Chase Hooper,1141.816831173695,Lightweight,8-4-0
Kiichi Kunimoto,1141.6694311687581,Welterweight,3-2-0
Jeremy Kennedy,1141.6186734062392,Featherweight,3-1-0
Constantinos Philippou,1140.564851325161,Middleweight,6-4-0
Nicolae Negumereanu,1140.561912686203,Light Heavyweight,4-2-0
Tom Nolan,1140.0311482024892,Lightweight,4-1-0
Brunno Ferreira,1140.0306544140522,Middleweight,5-2-0
Jeff Molina,1139.714499922812,Flyweight,3-0-0
Manny Bermudez,1139.5541371843526,Featherweight,3-2-0
Mohammed Usman,1139.0613991457544,Heavyweight,4-2-0
Bryan Caraway,1138.5724812315755,Bantamweight,6-4-0
Chris Holdsworth,1138.571139608077,Bantamweight,2-0-0
Nate Quarry,1138.092204733503,Middleweight,7-3-0
David Onama,1138.0105805939315,Featherweight,6-3-0
Navajo Stirling,1137.7496911750063,Light Heavyweight,3-0-0
Khaos Williams,1137.730062790289,Welterweight,6-4-0
Ludovit Klein,1137.6302222386223,Lightweight,8-3-1
MarQuel Mederos,1137.3052053475337,Lightweight,3-0-0
Ignacio Bahamondes,1137.3008685456316,Lightweight,6-3-0
Ateba Gautier,1137.2022476458917,Middleweight,3-0-0
Kenichi Yamamoto,1136.6174979863326,Welterweight,2-1-0
Steve Jennum,1136.44633948679,Open Weight,2-1-0
Kevin Jackson,1136.44633948679,Middleweight,2-2-0
Chris Daukaus,1135.7959614574297,Light Heavyweight,4-4-0
Karl Williams,1135.2381188452289,Heavyweight,3-1-0
Sean Sherk,1134.9683134387246,Lightweight,8-4-0
Zhang Lipeng,1134.871894044082,Lightweight,2-2-0
Paul Daley,1134.725899873021,Welterweight,2-1-0
Aleksei Kunchenko,1134.6065433788629,Welterweight,2-2-0
Chas Skelly,1134.5542804018974,Featherweight,8-3-1
JeongYeong Lee,1134.4114238208379,Featherweight,2-2-0
Matt Lindland,1134.1995874567162,Middleweight,9-3-0
Patrick Smith,1134.199313407538,Open Weight,4-1-0
Brian Ebersole,1134.0421749810725,Welterweight,5-3-0
Casey Kenney,1134.0124653245205,Bantamweight,5-3-0
Felipe Lima,1133.4455378133136,Bantamweight,2-1-0
Marcio Cruz,1133.024922943261,Heavyweight,2-2-0
Myktybek Orolbai,1132.195957763604,Catch Weight,3-1-0
Manel Kape,1132.0661559420596,Flyweight,6-3-0
Quinton Jackson,1131.9906308573961,Catch Weight,8-5-0
Esteban Ribovics,1131.9555378166824,Lightweight,4-2-0
Enrique Barzola,1131.8711374906873,Bantamweight,6-3-1
Albert Tumenov,1131.698425531219,Welterweight,5-3-0
Sean Pierson,1131.5866090627142,Welterweight,4-2-0
Clint Hester,1131.1902855821565,Light Heavyweight,4-3-0
Maurice Smith,1130.7145193532738,Heavyweight,4-3-0
Brad Riddell,1130.6326237963806,Lightweight,4-3-0
Thiago Silva,1130.5401108055778,Light Heavyweight,7-3-2
Chad Laprise,1130.3976844267968,Welterweight,6-4-0
Ramazan Emeev,1130.296714378785,Welterweight,5-3-0
Hakeem Dawodu,1130.2952789331125,Featherweight,6-4-0
Philipe Lins,1130.0840954742741,Light Heavyweight,4-2-0
Ian Freeman,1129.701039166257,Heavyweight,3-2-1
Abel Trujillo,1129.3598936971998,Lightweight,6-4-1
Seokhyeon Ko,1128.79954538695,Welterweight,2-0-0
Victor Henry,1128.7081478664443,Bantamweight,4-2-1
Jean Matsumoto,1128.4653490077976,Bantamweight,3-1-0
Alan Patrick,1128.2650245292918,Lightweight,5-4-1
David Martinez,1128.2550990911996,Bantamweight,2-0-0
Augusto Sakai,1128.0657846122533,Heavyweight,5-4-0
Saidyokub Kakhramonov,1127.9723491464256,Bantamweight,2-1-0
Magomed Mustafaev,1127.8109106942832,Lightweight,3-2-0
Shamil Gaziev,1127.774608311644,Heavyweight,3-1-0
Azamat Bekoev,1127.2112425551175,Middleweight,2-1-0
Mario Pinto,1127.1922340421133,Heavyweight,2-0-0
Michael McDonald,1127.127616869264,Bantamweight,6-3-0
Guangyou Ning,1127.0332663052775,Featherweight,2-2-0
Brady Hiestand,1126.9801653509717,Bantamweight,3-1-0
Joe Solecki,1126.8956571727629,Lightweight,5-4-0
Stevie Ray,1126.6831569228193,Lightweight,7-4-0
Jose Delgado,1126.2572822876214,Featherweight,2-1-0
Adlan Amagov,1125.894925071442,Welterweight,2-0-0
Ramazan Temirov,1125.7809397277074,Flyweight,2-0-0
Baisangur Susurkaev,1125.745359418453,Middleweight,2-0-0
Wilson Gouveia,1125.7230778415112,Catch Weight,6-4-0
Phillip Miller,1125.4869099811,Middleweight,2-0-0
Diego Rivas,1125.4009645081676,Bantamweight,2-2-0
Jhonata Diniz,1125.3978306781617,Heavyweight,3-2-0
Michael Graves,1125.3252505827036,Welterweight,2-0-1
Norman Parke,1125.2988144340266,Lightweight,5-3-1
Steven Siler,1125.1575075266792,Featherweight,5-4-0
Aljamain Sterling,1124.7150774894974,Catch Weight,17-5-0
Todd Duffee,1124.6007451479923,Heavyweight,3-2-1
Trey Waters,1124.5979260117092,Welterweight,2-1-0
Igor Araujo,1124.570616621104,Welterweight,2-2-0
Fredy Serrano,1124.41857699915,Flyweight,2-2-0
Kevin Jousset,1124.338896544123,Welterweight,2-2-0
Nurullo Aliev,1124.1546079640123,Lightweight,2-0-0
Brian Bowles,1123.8760834469585,Bantamweight,2-2-0
Jacobe Smith,1123.8282141556945,Welterweight,2-0-0
Melsik Baghdasaryan,1123.7715145489537,Featherweight,3-2-0
Rich Attonito,1123.7715145489537,Welterweight,3-2-0
Don Madge,1123.7715145489537,Lightweight,2-0-0
Danny Barlow,1123.6679161303505,Middleweight,2-2-0
Chris Curtis,1123.533878813643,Welterweight,6-4-1
Nick Maximov,1123.5058200065398,Middleweight,2-2-0
Ronnie Lawrence,1123.4409766278357,Bantamweight,2-1-1
Kevin Vallejos,1123.1938037234202,Featherweight,2-0-0
Danny Silva,1123.1757112658788,Featherweight,2-1-0
Clayton Carpenter,1123.0685125549244,Flyweight,2-2-0
Lavar Johnson,1123.0670807102247,Heavyweight,2-2-0
Joel Sutton,1122.9628414727486,Open Weight,2-0-0
Oumar Sy,1122.8707938010841,Light Heavyweight,3-1-0
Mansur Abdul-Malik,1122.7860938380697,Middleweight,2-0-1
Charlie Campbell,1122.3972331710168,Lightweight,2-1-0
Darren Uyenoyama,1122.367341862126,Flyweight,2-2-0
Mike van Arsdale,1122.359496575484,Light Heavyweight,2-2-0
Danny Henry,1122.3590277599592,Featherweight,2-2-0
Kaue Fernandes,1122.3246722656818,Lightweight,3-1-0
Trevor Prangley,1122.303583889672,Middleweight,2-2-0
Jesus Aguilar,1122.133507840073,Flyweight,4-2-0
ChangHo Lee,1122.1215258419113,Bantamweight,2-1-0
Cesar Almeida,1121.8810925388088,Middleweight,3-1-0
Carlos Felipe,1121.880790863631,Heavyweight,3-2-0
Adam Wieczorek,1121.8571489963829,Heavyweight,2-1-0
Marco Tulio,1121.770507201376,Middleweight,2-1-0
Nad Narimani,1121.7543958834556,Catch Weight,2-2-0
Royston Wee,1121.7543958834556,Bantamweight,2-1-0
Yadier del Valle,1121.609141883506,Featherweight,2-0-0
Malcolm Wellmaker,1121.125939555749,Featherweight,2-1-0
Shane Nelson,1121.1074101679371,Lightweight,2-2-0
Jack Jenkins,1120.974162437326,Featherweight,4-2-0
Arjan Bhullar,1120.893222647758,Heavyweight,3-1-0
Aaron Simpson,1120.8324932208288,Welterweight,7-4-0
Alex Hunter,1120.7506597095824,Heavyweight,2-0-0
Da Woon Jung,1120.6883096977551,Light Heavyweight,4-4-1
Lone'er Kavanagh,1120.680770633655,Flyweight,2-1-0
Matthew Riddle,1120.5039611686766,Welterweight,7-3-2
Pingyuan Liu,1120.3574852673898,Bantamweight,2-2-0
Kevin Randleman,1120.3079176177446,Light Heavyweight,4-3-0
Ibo Aslan,1120.2890338557013,Light Heavyweight,2-2-0
Claudio Puelles,1119.9807812257047,Lightweight,5-4-0
Shawn Jordan,1119.938392435304,Heavyweight,6-4-0
Adriano Martins,1119.9305530453123,Lightweight,4-3-0
Rory Singer,1119.720706275937,Middleweight,2-2-0
Charles Radtke,1119.7040463514859,Welterweight,4-2-0
Viscardi Andrade,1119.4994729842526,Welterweight,3-1-0
Juan Espino,1119.4214796235099,Heavyweight,2-1-0
